! MCNP Material Card from ORIGEN Output
! Time column: 2.237E+05min
! Total mass: 2.424355e+01 g, Density: 2.488055e+00 g/cm³
! Isotopes converted to helium: 6.019016e-06 g
M200 nlib=00c
     2004 -2.482729e-07
     6012 -5.978365e-01
     8016 -3.885149e-02
     14028 -6.875115e-02
     14029 -3.505612e-03
     14030 -2.311612e-03
     34082 -1.150270e-06
     36083 -1.903129e-06
     36084 -3.640270e-06
     36085 -1.019388e-06
     36086 -7.237137e-06
     37085 -3.779047e-06
     37087 -9.561842e-06
     38088 -1.347664e-05
     38089 -5.430186e-06
     38090 -2.214952e-05
     39089 -1.267080e-05
     39091 -7.975568e-06
     40091 -1.480414e-05
     40092 -2.383934e-05
     40093 -2.542174e-05
     40094 -2.625487e-05
     40095 -1.009311e-05
     40096 -2.640060e-05
     41095 -5.924013e-06
     42095 -1.065678e-05
     42097 -2.523836e-05
     42098 -2.471560e-05
     42100 -2.744317e-05
     43099 -2.619800e-05
     44101 -2.283809e-05
     44102 -1.933596e-05
     44103 -3.187074e-06
     44104 -8.990803e-06
     44106 -1.895309e-06
     45103 -1.077284e-05
     46105 -4.827944e-06
     52128 -2.003395e-06
     52130 -1.031838e-05
     53129 -3.080010e-06
     54131 -1.613992e-05
     54132 -2.496019e-05
     54134 -4.589732e-05
     54136 -4.484855e-05
     55133 -3.819794e-05
     55135 -3.109486e-05
     55137 -3.670140e-05
     56138 -4.049187e-05
     56140 -1.555735e-06
     57139 -3.866207e-05
     58140 -3.599207e-05
     58141 -6.314046e-06
     58142 -3.597853e-05
     58144 -2.711847e-05
     59141 -2.945078e-05
     59143 -1.857894e-06
     60143 -3.471718e-05
     60144 -7.452567e-06
     60145 -2.465763e-05
     60146 -1.907474e-05
     60148 -1.086910e-05
     60150 -4.346145e-06
     61147 -1.286111e-05
     62149 -1.565966e-06
     62150 -5.529817e-06
     62151 -1.968493e-06
     62152 -2.637435e-06
     63153 -1.126196e-06
     92235 -2.364553e-02
     92236 -1.913084e-04
     92238 -2.633686e-01
     94239 -5.106983e-04
     94240 -7.877489e-06
